case,GPU_NO,Runtime
case10,1,2275.39
case10,1,2275.49
case10,1,2273.04
case10,1,2277.55
case10,1,2276.45
case10,1,2273.95
case10,1,2276.76
case10,1,2275.57
case10,1,2277.37
case10,1,2276.01
case10,1,2276.96
case10,1,2276.72
case10,1,2278.63
case10,1,2277.84
case10,1,2276.64
case10,1,2276.35
case10,1,2277.07
case10,1,2277.26
case10,1,2278.09
case10,1,2277.74
case10,1,2278
case10,1,2278.13
case10,1,2278.73
case10,1,2278.15
case10,1,2274
case10,1,2277.24
case10,1,2273.29
case10,1,2276.4
case10,1,2278.87
case10,1,2276.43
case10,1,2277.85
case10,1,2278.98
case10,1,2278.48
case10,1,2278.61
case10,1,2279.48
case10,1,2278.47
case10,1,2277.72
case10,1,2277.2
case10,1,2278.42
case10,1,2278.01
case10,1,2277.01
case10,1,2277.57
case10,1,2278.35
case10,1,2278.84
case10,1,2278.04
case10,1,2276.99
case10,1,2277.56
case10,1,2276.76
case10,1,2278.48
case10,1,2276.32
case10,1,2278.14
case10,1,2277.83
case10,1,2276.64
case10,1,2277.69
case10,1,2275.15
case10,1,2276.08
case10,1,2277.74
case10,1,2275.76
case10,1,2277.42
case10,1,2276.78
case10,1,2211.88
case10,1,2220.38
case10,1,2225.84
case10,1,2234.51
case10,1,2235.23
case10,1,2237.65
case10,1,2239.04
case10,1,2243.55
case10,1,2244.5
case10,1,2243.4
case10,1,2257.97
case10,1,2258.52
case10,1,2259.76
case10,1,2262.76
case10,1,2265.2
case10,1,2273.48
case10,1,2275.21
case10,1,2278.35
case10,1,2280.35
case10,1,2281.08
case10,1,2284.51
case10,1,2285.42
case10,1,2286.77
case10,1,2287.74
case10,1,2296.91
case10,1,2298.97
case10,1,2301.24
case10,1,2298.37
case10,1,2302.15
case10,1,2302.99
case10,1,2301.84
case10,1,2298.12
case10,1,2301.31
case10,1,2298.37
case10,1,2298.89
case10,1,2289.21
case10,1,2289.17
case10,1,2288.49
case10,1,2287.57
case10,1,2287.96
case10,1,2286.2
case10,1,2285.99
case10,1,2283.16
case10,1,2284.27
case10,1,2279.45
case10,1,2281.62
case10,1,2282.78
case10,1,2278.55
case10,1,2275.46
case10,1,2274.01
case10,1,2274.69
case10,1,2276.57
case10,1,2273.97
case10,1,2275.62
case10,1,2273.82
case10,1,2272.59
case10,1,2270.55
case10,1,2274.44
case10,1,2273.41
case10,1,2271.94
case10,1,2272.85
case10,1,2273.72
case10,1,2274.23
case10,1,2273.81
case10,1,2272.5
case10,1,2268.06
case10,1,2272.87
case10,1,2267.55
case10,1,2273.09
case10,1,2271.57
case10,1,2269.4
case10,1,2271.86
case10,1,2269.06
case10,1,2271.17
case10,1,2267.34
case10,1,2273.07
case10,1,2267.72
case10,1,2271.92
case10,1,2268.51
case10,1,2269.45
case10,1,2268.65
case10,1,2273.04
case10,1,2271.12
case10,1,2271.78
case10,1,2269.26
case10,1,2268.85
case10,1,2270.27
case10,1,2269.7
case10,1,2269.88
case10,1,2269.13
case10,1,2268.45
case10,1,2271.85
case10,1,2272.04
case10,1,2272
case10,1,2272.68
